marc 21-02-2020

leabhar,dp,teideal,údar
NL499,08-05-2005,Ridire Mhuire gan Smál,Colmán Ó hUallacháin
NL500,08-05-2005,Fiontán Ó Leathlobhair,Tomás Ó Néill
NL191,08-05-2005,Ealaín na hAmharclainne,Gearóid Ó Lochlainn
NL502,08-05-2005,Dochtúireacht Baile,Pádraig Ó Fínneadha 
A205,08-05-2005,Seo Apartheid,Asmal Kadar
NL501,12-08-2005,Trá agus Tuileadh ,Diarmaid Ó Súilleabháin 
LM116,12-08-2005,Siúlach Scéalach ,Eibhlín Ní Mhurchú
NL503,12-08-2005,Oilibhéar Pluincéid,Tomás Fiaich
NL504,12-08-2005,Seandaoine,Conchubhar Ó Ruairc
NL204,12-08-2005,Ní Lia Tír,Caitlín Uí Mhurchú  
NL506,12-08-2005,Slán le hUltaibh,Earnán De Blaghad
A203,12-08-2005, Bunreacht Um an Liotúirge,ní fios  
LC087,12-08-2005,Craobhóg Dán,Máirtín Ó Direáin 
DG015,12-08-2005,Noda,ní fios 
NL508,12-08-2005,Tomás Mac Síomóin 
NL509,12-08-2005,Eoghan Ó Tuairisc 
LC088,12-08-2005,Beairtle,Seán Ó Curraoin 
NL510,12-08-2005,An Bhliain Bhisigh,Mícheál Ó Siadhail 
NL511,12-08-2005,Faoi Léigear,Pádraig Mac Fhearghusa 
NL512,12-08-2005,Glean ar Ghleann,Michael Davitt
NL517,12-08-2005,Branar gan Cur,Breandán Ó Doibhlin  
LC060,12-08-2005,Sárchluichí le Sárimreoirí,Pádraig Ó Gaora 
LC089,12-08-2005,Willie the Plain Pint agus an Pápa,Breandán Ó hEithir 
NL527NL518,12-08-2005,Saol na mBeach,Máritín Ó Corrbuí 
NL516,12-08-2005,Máire Nic Artáin,Séamus Ó Néill  
LU015,12-08-2005,Scéal Ghaoth Dobhair,Seán 'ac Fhionnlaoich 
NL527,17-10-2005,Néal Maidine agus Tine Oíche,Breandán Ó Doibhlin 
A110,17-10-2005,Ón nGorta Anall - Éire 1850-1969,Mark Tierney 
NL515,17-10-2005,An Lann Torédo, Éamon Ó Faoláin  
AU025,17-10-2005,Uaigheanna Chill Mhóirne,P.A Canon 
AM019,17-10-2005,An Múindín,John Boyle O'Reilly  
NL513,17-10-2005,Róisín Fiain na Mara,ní fios   
U034,17-10-2005,Maighdean an tSoluis agus Sgéalta Eile I,ní fios
AU008,17-10-2005,An Cnota Glas,M.T. Pender 
LU080,17-10-2005,An Cogadh Dearg agus Scéalta Eile,Peadar T. Mac Fhionnlaoich 
U029,17-10-2005,Éan an Cheoil - agus Scéalta Eile, Seán Ua Domhnaill
NL103,12-01-2006,Aistí Critice agus Cultúir I,Breandán Ó Doibhlin 
LM117,12-01-2006,Iognáid Loyola,Donncha Ó Céileachair  
NL514,12-01-2006,An Chnámharlach,ní fios   
NL399,12-01-2006,Lucht Ceoil,Art Ó Riain  
NL024,12-01-2006,Bunadhas an Gheilleagair,Liam Ó Buachalla 
LU064,12-01-2006,An Dílidhe,Aindrias Ó Baoighill    
NL266,12-01-2006,Sármháistrí na hIodáile,Seosamh Ó Conchubhair 
LC070,12-01-2006,An Lánúin agus Scéalta Eile,Pádraic Breathnach  
NL078,12-01-2006,Scéal na hEitleoireachta,Seoirse Ó Broin 
NL056,12-01-2006,Teas,Séamus Mac Cnáimhín  
NL109,12-01-2006,Éireannaigh san Eolaíocht,Séamus Mac Cnáimhín 
NL039,12-01-2006,Dúlra agus Dúchas,Mícheál Mac Ginneá 
NL153,12-01-2006,Tíreóluidhe ar Éirinn,Seán Tóibín 
LC092,12-01-2006,An Tincéara Buí,Seán Ó Coisdealbha  
NL529,12-01-2006,Réics Carló i nDún na nGall,Cathal Ó Sandair 
NL531,12-01-2006,Gort na Gréine,Conchubhar Ó Ruairc  
NL532,12-01-2006,Ceart na Sua,Liam Ó Cathain  
NL521,12-01-2006,Amaidí,Ciarán Ó Nualláin  
NL279,12-01-2006,Truailliú ar Éirinn,C.N. Ó Ceallacháin 
LU067,12-01-2006,Ceachta as Leabhar na Cruinne,An tAthair Pádraig Mac Giolla Cheara 
AU009,12-01-2006,I n-Aimsir Eoghain Ruaidh,James Murphy  
NL533,23-02-2006,Ceo Meala Lá Seaca,Micheál Mac Liammóir
NL534,23-02-2006,Mícheál Cíosóg,Liam P. Ó Caithnia  
LM118,23-02-2006,Bullaí Mhártain,Síle Ní Chéileachair
LM119,23-02-2006,Créamaraí,Mícheál Ó Súilleabháin 
C130,01-03-2006,Leabhar Sgeulaigheachta,ní fios 
C017,01-03-2006,Siamsa an Gheimhridh - Nó Cois an Teallaigh in Iar-Chonnachta,ní fios 
ní fios,01-03-2006,Sgeulaidhe Gaodhalach,ní fios
NL522,01-03-2006,Cuairt ar Albain,Beirt Shiubhlóirí 
LC051,01-03-2006,Cruithneacht agus Ceannabháin,Tomás Bairéad 
NL487,01-03-2006,Díreach Chun Dé,Diarmuid S.J. Ó Laoghaire  
C134,06-03-2006,Abhráin Diadha Chúige Connacht II,Dubhglas De hÍde
C135,06-03-2006,Abhráin Grádh Chúige Connacht,Dubhglas De hÍde 
C055,06-03-2006,Amhráin Choilm de Bhailis,Colm de Bhailís
C133,09/03-2006,Abhráin Dhiadha Chúige Chonnachta 1,Dubhglas De hÍde   
NL215,09-03-2006,Dánta an Lae Indiu,Liam S. Gógan 
NL496,09-03-2006,Margadh na Saoire,Máire Mhac an tSaoi 
NL524,24-03-2006,Ceol na Coille,Eilís Diolún 
LC044,24-03-2006,Mo Dhúthaidh Fhiáin,Seán Mac Giollarnáth 
NL410,24-03-2006,Díon-chruthughadh an Chreidimh,An tAthair Pádraig Mac Giolla Cheara 
LM034,24-03-2006,Stiana,Pádraig Ó Séaghdha 
C123,27-03-2006,Lúb na Caillighe agus Scéalta eile,Micheál Mag Ruaidhrí
A108,27-03-2006,Maintíneacht,Angela Maloney 
NL263,27-03-2006,Fisic 1 agus 11,Liam Ó Lúbaigh & Murchadh Ó Síthigh
LU081,27-03-2006,An tAiridheach,Aindrias Ó Baoighill
NL535,10-04-2006,Colm Cille,Séamus Ó Néill 
NL111,10-04-2006,Éan Corr,Seán Mac Maoláin
NL525,10-04-2006,Stair-Sheanchas Éireann Cuid 1,Mícheál Ó Siochfhradha 
NL528,10-04-2006,Leabhar Filidheachta Fá Choinne na Scoil,ní fios
M064,24/04/2006,Tonn Tóime,ní fios
C048,25/04/2006,Amhráin Mhuighe Seóla,ní fios
U037,25/04/2006,Bruidhean Caorthainn,ní fios
C047,04/05/2006,Amhráin Chlainne Gaedheal,Mícheál&Tomás Ó Máille
NL223,04/05/2006,Gaetha Gréine - Aistidhe Duais Oireachtais, údair éagsúla
AU017,04/05/2006,Éire agus Éireannaigh i Muirthéacht na Frainnce, Risteárd Ó hAodha 
M180,04/05/2006,Ár gCeol Féinig,údair éagsúla
C041,05/05/2006,Targaireacht Bhriain Ruaidh Uí Chearbháin agus Stair-Sheanchas le Cois,údair éagsúla
NL526,10/05/2006,Stair-Sheanchas Éireann II,Mícheál Ó Siochfhradha
C040,08/05/2006,Sgéalta Gearra an Iarthair,údair éagsúla
C054,10/05/2006,Tóruigheacht Mhadadh na Seacht gCos,Pádraic Mac Aodháin
LC076,10/05/2006,Beatha Aodha Uí Néill,Micheál Mag Ruaidhrí  
M030,06/06/2006,Seanfhocail na Muimhneach                  
M186,06/06/2006,Racaireacht Ghrinn na Tuaithe              
LC003,06/06/2006,Dubhaltach Mac Firbhisigh                  
LC006,06/06/2006,Sliocht de Scríbhinníbh Mhichíl Breathnaigh
LC081,06/06/2006,Béal an Uaignis, Pádraic Ó Conaire                           
LC080,06/06/2006,Beagnach Fíor,Pádraic Ó Conaire                               
LC064,06/06/2006,Mian a Croidhe,Pádraic Ó Conaire                              
LC067,06/06/2006,Solus an Ghrádha,Pádraic Ó Conaire                           
LM015,06/06/2006,Cormac Ua Conaill, An tAthair Pádraig Ua Duinnín                         
LM039,06/06/2006,Aodh Ó Neill, ní fios                              
LM055,06/06/2006,Beirt Fhear Ó'n dTuaith,ní fios                    
LM089,06/06/2006,Annála na Tuatha 1, ní fios                         
LM090,06/06/2006,Annála na Tuatha 11,ní fios                        
LM091,06/06/2006,Annála na Tuatha 111, ní fios                       
M173,06/06/2006,Ceol ár Sínsear, údair éagsúla                           
M201,06/06/2006,Seanfhocail na Muimhneach,Pádraig Ó Siochfhradha                  
M186,06/06/2006,Racaireacht Ghrinn na Tuaithe,Tadhg Ó Conchubhar               
U019,15/06/2006,Cruach Chonaill,údair éagsúla                            
LC003,06/06/2006,Dubhaltach Mac Firbhisigh,Eoghan Ua Neachtain                   
LC026,14/06/2006,Eochaidh Mac Rí 'n Éirinn,Micheál Ó Máille                 
LC006,06/06/2006,Sliocht de Scríbhinníbh Mhichíl Breathnaigh,Tomás Mac Domhnaill 
LC079,26/06/2006,An Sgoláire Bocht agus Sgéalta Eile,Pádraic Ó Conaire                          
LC081,06/06/2006,Béal an Uaignis,Pádraic Ó Conaire                            
LC059,20/06/2006,Síol Éabha,Pádraic Ó Conaire                                 
LM022,22/06/2006,An Craos-Deamhan,An tAthair Peadar Ua Laoghaire                            
U048,16/06/2006,An Uiseog,ní fios                                 
LM100,21/06/2006,Measgán Músgraidhe,údair éagsúla                          
LM101,23/06/2006,Cléibhín Móna,Séamus Ua Dubhghaill                              
LC039,02/07/2006,Bruth-fá-Thír, Pádhraic Ó Domhnalláin, & Tomás Ó Raghallaigh  
LC057,24/07/2006,Stair-Cheachta I,Eoghan Ó Neachtain 
LM012,22/06/2006,Cois Caoláire,Máirtín Ó Cadhain  
LM013,27/06/2006,An tSraith ar Lár,Máirtín Ó Cadhain  
LM021,27/06/2006,Cómhrá Caillí,Micheál Ó Conghaile 
LM027,05/07/2006,An Mothall Sin Ort,Seán Ó Ruadháin 
M083,05/07/2006,Cosa Buidhe Arda II,Fionán Mac Coluim 
M179,05/07/2006,Ceól Sídhe 1-6,údair éagsúla
LC060,22/08/2006,Sárchluichí le Sárimreoirí,Pádraic Ó Gaora 
LM002,09/08/2006,Mise,Pádraic Ó Gaora
LM016,08/08/2006,An tSraith Tógtha,Máirtín Ó Cadhain 
LM028,08/08/2006,Gaillimh agus Aistí Eile,Proinsias Mac Aonghusa 
LM035,08/08/2006,Deoraidheacht,Pádraic Ó Conaire
LM050,25/08/2006,Cumhacht na Cinneamhna,Tomás Bairéad 
LM103,08/08/2006,An Fear a Phléasc,Micheál Ó Conghaile  
LU003,08/08/2006,Maicín,Mághnus Mac Cumhaill 
LU076,22/08/2006,Faire Pháidí Mhóir agus Pósadh Chonaill Bhig,Séamus Ó Searcaigh 
A188,12/09/2006,Tígheas agus Cócaireacht,aistritheoir
LM019,12/09/2006,Séadna,An tAthair Peadar Ua Laoghaire
LM020,31/08/2006,Táin Bó Cuailnge 'na Dhráma,An tAthair Peadar Ua Laoghaire
LM029,30/08/2006,Seanmóin agus Trí Fichid II,An tAthair Peadar Ua Laoghaire
LM033,11/09/2006,Cath Fionntrágha,Pádraig Ó Siochfhradha  
LM069,21/09/2006,Cnuasacht Trágha,Sheehan, M. Rev.
LM070,21/09/2006,Gabha na Coille,Sheehan, M. Rev.
LM071,21/09/2006,Gile na mBláth,Sheehan, M. Rev.
LM077,08/08/2006,Scríbhne Risteard de Hindeberg,údair éagsúla
